Institution,Site,Academic_Year,Term,ZIP_Code,Full_or_Part_Time,Headcount
SLCC,Main Campus,2020,2,84115,Part-Time,177
SLCC,Main Campus,2020,2,84116,Full-Time,39
SLCC,Main Campus,2020,2,84116,Part-Time,279
SLCC,Main Campus,2020,2,84117,Full-Time,19
SLCC,Main Campus,2020,2,84117,Part-Time,172
SLCC,Main Campus,2020,2,84118,Full-Time,58
SLCC,Main Campus,2020,2,84118,Part-Time,387
SLCC,Main Campus,2020,2,84119,Full-Time,95
SLCC,Main Campus,2020,2,84119,Part-Time,512
SLCC,Main Campus,2020,2,84120,Full-Time,78
SLCC,Main Campus,2020,2,84120,Part-Time,487
SLCC,Main Campus,2020,2,84121,Full-Time,41
SLCC,Main Campus,2020,2,84121,Part-Time,283
SLCC,Main Campus,2020,2,84123,Full-Time,61
SLCC,Main Campus,2020,2,84123,Part-Time,380
SLCC,Main Campus,2020,2,84124,Full-Time,26
SLCC,Main Campus,2020,2,84124,Part-Time,143
SLCC,Main Campus,2020,2,84127,Part-Time,4
SLCC,Main Campus,2020,2,84128,Full-Time,50
SLCC,Main Campus,2020,2,84128,Part-Time,347
SLCC,Main Campus,2020,2,84129,Full-Time,78
SLCC,Main Campus,2020,2,84129,Part-Time,406
SLCC,Main Campus,2020,2,84152,Part-Time,2
SLCC,Main Campus,2020,2,84157,Part-Time,6
SLCC,Main Campus,2020,2,84158,Part-Time,2
SLCC,Main Campus,2020,2,84165,Full-Time,2
SLCC,Main Campus,2020,2,84165,Part-Time,3
SLCC,Main Campus,2020,2,84170,Part-Time,6
SLCC,Main Campus,2020,2,84171,Full-Time,1
SLCC,Main Campus,2020,2,84171,Part-Time,3
SLCC,Main Campus,2020,2,84302,Part-Time,5
SLCC,Main Campus,2020,2,84310,Part-Time,6
SLCC,Main Campus,2020,2,84312,Part-Time,2
SLCC,Main Campus,2020,2,84314,Part-Time,2
SLCC,Main Campus,2020,2,84315,Part-Time,3
SLCC,Main Campus,2020,2,84317,Part-Time,1
SLCC,Main Campus,2020,2,84319,Part-Time,1
SLCC,Main Campus,2020,2,84321,Full-Time,2
SLCC,Main Campus,2020,2,84321,Part-Time,5
SLCC,Main Campus,2020,2,84332,Full-Time,1
SLCC,Main Campus,2020,2,84332,Part-Time,1
SLCC,Main Campus,2020,2,84335,Full-Time,1
SLCC,Main Campus,2020,2,84335,Part-Time,3
SLCC,Main Campus,2020,2,84337,Full-Time,1
SLCC,Main Campus,2020,2,84337,Part-Time,1
SLCC,Main Campus,2020,2,84339,Part-Time,2
SLCC,Main Campus,2020,2,84341,Full-Time,1
SLCC,Main Campus,2020,2,84341,Part-Time,6
SLCC,Main Campus,2020,2,84401,Full-Time,2
SLCC,Main Campus,2020,2,84401,Part-Time,4
SLCC,Main Campus,2020,2,84403,Full-Time,2
SLCC,Main Campus,2020,2,84403,Part-Time,20
SLCC,Main Campus,2020,2,84404,Part-Time,7
SLCC,Main Campus,2020,2,84405,Full-Time,1
SLCC,Main Campus,2020,2,84405,Part-Time,12
SLCC,Main Campus,2020,2,84414,Part-Time,7
SLCC,Main Campus,2020,2,84501,Full-Time,1
SLCC,Main Campus,2020,2,84501,Part-Time,1
SLCC,Main Campus,2020,2,84512,Full-Time,2
SLCC,Main Campus,2020,2,84523,Part-Time,1
SLCC,Main Campus,2020,2,84528,Part-Time,2
SLCC,Main Campus,2020,2,84532,Part-Time,1
SLCC,Main Campus,2020,2,84536,Part-Time,1
SLCC,Main Campus,2020,2,84601,Full-Time,1
SLCC,Main Campus,2020,2,84601,Part-Time,16
SLCC,Main Campus,2020,2,84604,Full-Time,2
SLCC,Main Campus,2020,2,84604,Part-Time,10
SLCC,Main Campus,2020,2,84606,Full-Time,2
SLCC,Main Campus,2020,2,84606,Part-Time,10
SLCC,Main Campus,2020,2,84624,Full-Time,1
SLCC,Main Campus,2020,2,84627,Full-Time,1
SLCC,Main Campus,2020,2,84628,Part-Time,1
SLCC,Main Campus,2020,2,84631,Part-Time,1
SLCC,Main Campus,2020,2,84632,Part-Time,1
SLCC,Main Campus,2020,2,84648,Part-Time,1
SLCC,Main Campus,2020,2,84649,Full-Time,1
SLCC,Main Campus,2020,2,84651,Full-Time,1
SLCC,Main Campus,2020,2,84651,Part-Time,3
SLCC,Main Campus,2020,2,84655,Part-Time,5
SLCC,Main Campus,2020,2,84656,Part-Time,1
SLCC,Main Campus,2020,2,84660,Full-Time,1
SLCC,Main Campus,2020,2,84660,Part-Time,12
SLCC,Main Campus,2020,2,84663,Full-Time,2
SLCC,Main Campus,2020,2,84663,Part-Time,6
SLCC,Main Campus,2020,2,84664,Full-Time,2
SLCC,Main Campus,2020,2,84664,Part-Time,2
SLCC,Main Campus,2020,2,84701,Part-Time,1
SLCC,Main Campus,2020,2,84713,Part-Time,1
SLCC,Main Campus,2020,2,84720,Full-Time,1
SLCC,Main Campus,2020,2,84720,Part-Time,4
SLCC,Main Campus,2020,2,84721,Part-Time,1
SLCC,Main Campus,2020,2,84737,Full-Time,1
SLCC,Main Campus,2020,2,84737,Part-Time,2
SLCC,Main Campus,2020,2,84738,Full-Time,2
SLCC,Main Campus,2020,2,84741,Part-Time,2
